period,revenue,organic_growth,reported_growth,gross_margin,ebitda,ebitda_margin,ebit,ebit_margin,eps,cfo,capex,fcf,net_debt,shares,source_id
FY2022,1433,,112.0,,-793,-55.3,,,,,,,,,S005
FY2023,2359,,64.6,,-22,-0.9,,,,86,,-234,,,S003
FY2024,2797,21.0,19.0,42.0,313,11.2,-168,-6.0,-0.03,852,149,162,-5800,4065,S002
Q4-2024,764,,,43.5,97,12.7,2,0.3,0.01,253,53,69,,,S002
FY2025,3370,18.0,20.0,43.2,500,14.8,65,1.9,0.07,79,188,290,-5400,4089,S002
Q4-2025,906,17.0,19.0,43.8,148,16.3,52,5.7,0.04,69,81,76,-5400,4089,S002
Q2-2026,997,21.0,22.0,,168,16.9,19,1.9,0.06,56,49,73,-5400,4079,S001
