period,metric,consensus,high,low,as_of_date,source_id
FY2026,revenue_usd_million,4190,,,2026-09-01,S012
FY2026,eps_usd,0.145,,,2026-09-01,S012
12-month,price_target_usd,5.86,8.00,4.60,2026-09-01,S012
