period,revenue,organic_growth,reported_growth,gross_margin,ebitda,ebitda_margin,ebit,ebit_margin,eps,cfo,capex,fcf,net_debt,shares,source_id
FY2023,383.285,,2.0,44.1,,,114.301,29.8,6.13,110.543,10.959,99.584,,15.812,S-003
FY2024,391.035,,2.0,46.2,,,123.216,31.5,6.08,118.254,9.447,108.807,,15.408,S-003
FY2025,416.161,,6.4,46.9,,,133.050,32.0,7.46,111.482,12.715,98.767,,15.005,S-003
FY2026E,477.100,,14.6,48.3,,,152.200,31.9,8.67,141.000,10.500,130.500,-62.2,14.65,S-001;S-008;A-001
